,player_name,yr_numerical,conf,TS_per,bpm,drafted
1965,Blair Orr,4.0,BW,46.96,-10.5638,0
1966,Blaise Ffrench,4.0,MAAC,42.4,-3.28466,0
1967,Blaise Mbargorba,4.0,Pat,67.15,-6.35815,0
1968,Blaise Staab,4.0,Ivy,48.52,-2.28756,0
1969,Blake Allen,4.0,Horz,50.56,0.651598,0
1970,Blake Bozeman,4.0,MEAC,47.97,-3.44176,0
1971,Blake Brinkmeyer,1.0,MVC,62.5,-5.74577,0
1972,Blake Brumwell,4.0,BSky,50.84,-6.24307,0
1973,Blake Cushingberry,3.0,Sum,47.66,-3.54983,0
1974,Blake Danielak,1.0,MVC,39.58,-2.47164,0
1975,Blake Davis,4.0,WAC,52.06,0.32342,0
1976,Blake Edwards,1.0,ASun,52.63,-12.5046,0
1977,Blake Foeman,3.0,WAC,49.62,-4.78344,0
1978,Blake Francis,4.0,A10,52.82,1.34806,0
1979,Blake Furcron,3.0,CUSA,34.58,-0.585648,0
1980,Blake Gallagher,4.0,SC,48.6,-1.31324,0
1981,Blake Griffin,2.0,B12,64.77,11.3401,1
1982,Blake Hamilton,4.0,MAC,53.95,3.20061,0
1983,Blake Harris,3.0,MEAC,49.1,-6.78102,0
1984,Blake Hibbits,1.0,MAC,55.29,0.133329,0
1985,Blake Hibbitts,4.0,MAC,53.86,-4.51616,0
1986,Blake Hinson,2.0,SEC,51.56,0.268537,0
1987,Blake Hoffarber,4.0,B10,57.27,4.24753,0
1988,Blake Huggins,3.0,MAC,60.15,1.5474,0
1989,Blake Jenkins,4.0,OVC,62.74,0.674343,0
1990,Blake Jolivette,4.0,Pat,42.16,-6.45475,0
1991,Blake Lampman,2.0,Horz,38.51,-5.59112,0
1992,Blake McDonald,4.0,SEC,50.46,-3.88393,0
1993,Blake McLimans,4.0,B10,26.76,-7.775,0
1994,Blake Metcalf,4.0,AE,54.56,1.71371,0
1995,Blake Mishler,4.0,MVC,53.2,-3.39258,0
1996,Blake Nash,2.0,BE,50.63,1.33066,0
1997,Blake Nevins,4.0,B12,50.0,-8.97087,0
1998,Blake Paul,4.0,Amer,54.97,0.39625,0
1999,Blake Preston,2.0,ASun,60.95,5.01976,0
2000,Blake Ralling,3.0,SWAC,52.02,-5.71632,0
2001,Blake Reynolds,4.0,Ivy,63.18,3.13821,0
2002,Blake Sanford,4.0,SWAC,49.68,-5.30563,0
2003,Blake Simmons,4.0,MVC,53.86,2.06281,0
2004,Blake Simpson,4.0,MEAC,56.02,-8.23369,0
2005,Blake Smith,4.0,BSth,43.69,-3.59538,0
2006,Blake Spellman,1.0,Horz,44.85,-3.85297,0
2007,Blake Thompson,4.0,SWAC,43.75,-0.308014,0
2008,Blake Truman,4.0,BSky,53.72,-5.8439,0
2009,Blake Vedder,4.0,MAC,58.33,-14.9168,0
2010,Blake Verbeek,2.0,Pat,45.4,-9.59838,0
2011,Blake Wallace,4.0,WCC,52.52,0.961963,0
2012,Blake Wilkinson,1.0,P12,39.38,-4.89543,0
2013,Blaze Nield,3.0,WAC,53.22,-2.12188,0
2014,Blondeau Tchoukuiengo,1.0,AE,62.63,-4.74578,0
2015,Blondy Baruti,1.0,CUSA,26.71,-2.1821,0
2016,Bo Amusa,4.0,SWAC,53.75,1.03299,0
2017,Bo Barnes,4.0,P12,58.57,6.16897,0
2018,Bo Blight,2.0,CUSA,35.67,-5.96203,0
2019,Bo Calhoun,4.0,MAC,54.22,1.36498,0
2020,Bo Henning,1.0,BW,31.54,-9.43743,0
